customerID,tenure,Contract,MonthlyCharges,PaymentMethod,TechSupport,InternetService,RiskScore,RiskCategory
1319-YLZJG,12,Month-to-month,84.6,Electronic check,No,Fiber optic,13,Critical Risk
7321-VGNKU,2,Month-to-month,70.35,Electronic check,No,Fiber optic,13,Critical Risk
5956-YHHRX,21,Month-to-month,104.35,Electronic check,No,Fiber optic,13,Critical Risk
1307-ATKGB,24,Month-to-month,89.55,Electronic check,No,Fiber optic,13,Critical Risk
9633-XQABV,3,Month-to-month,70.25,Electronic check,No,Fiber optic,13,Critical Risk
3030-YDNRM,8,Month-to-month,74.85,Electronic check,No,Fiber optic,13,Critical Risk
4749-OJKQU,4,Month-to-month,75.65,Electronic check,No,Fiber optic,13,Critical Risk
7465-ZZRVX,1,Month-to-month,70.35,Electronic check,No,Fiber optic,13,Critical Risk
5091-HFAZW,2,Month-to-month,91.15,Electronic check,No,Fiber optic,13,Critical Risk
2252-ISRNH,9,One year,90.35,Electronic check,No,Fiber optic,13,Critical Risk
5935-FCCNB,17,Month-to-month,94.2,Electronic check,No,Fiber optic,13,Critical Risk
2501-XWWTZ,11,Month-to-month,70.2,Electronic check,No,Fiber optic,13,Critical Risk
0168-XZKBB,19,Month-to-month,86.85,Electronic check,No,Fiber optic,13,Critical Risk
6719-OXYBR,15,Month-to-month,85.3,Electronic check,No,Fiber optic,13,Critical Risk
5399-ZIMKF,5,Month-to-month,74.65,Electronic check,No,Fiber optic,13,Critical Risk
6407-UTSLV,2,Month-to-month,83.8,Bank transfer (automatic),No,Fiber optic,13,Critical Risk
2081-VEYEH,3,Month-to-month,107.95,Electronic check,Yes,Fiber optic,13,Critical Risk
8584-KMVXD,8,Month-to-month,75.6,Electronic check,No,Fiber optic,13,Critical Risk
5382-SOYZL,22,Month-to-month,95.1,Electronic check,No,Fiber optic,13,Critical Risk
6435-SRWBJ,5,Month-to-month,82.75,Electronic check,Yes,Fiber optic,13,Critical Risk
4854-CIDCF,3,Month-to-month,73.85,Electronic check,No,Fiber optic,13,Critical Risk
2371-JQHZZ,24,Month-to-month,93.0,Electronic check,No,Fiber optic,13,Critical Risk
3096-GKWEB,18,Month-to-month,94.75,Electronic check,No,Fiber optic,13,Critical Risk
5879-SESNB,11,Month-to-month,75.25,Electronic check,No,Fiber optic,13,Critical Risk
0793-TWELN,4,Month-to-month,80.15,Electronic check,No,Fiber optic,13,Critical Risk
1219-NNDDO,9,Month-to-month,76.85,Electronic check,No,Fiber optic,13,Critical Risk
9334-GWGOW,7,Month-to-month,74.85,Electronic check,No,Fiber optic,13,Critical Risk
9717-QEBGU,2,Month-to-month,70.3,Electronic check,No,Fiber optic,13,Critical Risk
9360-OMDZZ,24,Month-to-month,94.1,Electronic check,No,Fiber optic,13,Critical Risk
0027-KWYKW,23,Month-to-month,83.75,Electronic check,No,Fiber optic,13,Critical Risk
1393-IMKZG,1,Month-to-month,95.85,Electronic check,Yes,Fiber optic,13,Critical Risk
2688-BHGOG,9,Month-to-month,79.55,Electronic check,No,Fiber optic,13,Critical Risk
3878-AVSOQ,1,Month-to-month,71.25,Electronic check,No,Fiber optic,13,Critical Risk
3904-UKFRE,4,Month-to-month,80.1,Electronic check,No,Fiber optic,13,Critical Risk
2504-DSHIH,23,Month-to-month,86.8,Electronic check,No,Fiber optic,13,Critical Risk
3199-XGZCY,8,Month-to-month,75.25,Electronic check,No,Fiber optic,13,Critical Risk
2880-FPNAE,2,Month-to-month,74.2,Electronic check,No,Fiber optic,13,Critical Risk
1077-HUUJM,7,Month-to-month,71.05,Electronic check,No,Fiber optic,13,Critical Risk
1016-DJTSV,8,Month-to-month,69.7,Electronic check,No,Fiber optic,13,Critical Risk
2262-SLNVK,1,Month-to-month,70.1,Electronic check,No,Fiber optic,13,Critical Risk
8325-QRPZR,7,Month-to-month,75.15,Electronic check,No,Fiber optic,13,Critical Risk
4633-MKHYU,9,Month-to-month,88.4,Mailed check,No,Fiber optic,13,Critical Risk
8266-VBFQL,4,Month-to-month,90.4,Electronic check,Yes,Fiber optic,13,Critical Risk
2799-ARNLO,5,Month-to-month,69.35,Electronic check,No,Fiber optic,13,Critical Risk
5288-AHOUP,11,Month-to-month,78.5,Electronic check,No,Fiber optic,13,Critical Risk
0722-SVSFK,7,Month-to-month,100.4,Electronic check,Yes,Fiber optic,13,Critical Risk
5701-YVSVF,11,Month-to-month,82.9,Electronic check,Yes,Fiber optic,13,Critical Risk
9696-RMYBA,5,Month-to-month,80.1,Mailed check,No,Fiber optic,13,Critical Risk
2897-DOVND,2,Month-to-month,69.8,Electronic check,No,Fiber optic,13,Critical Risk
0021-IKXGC,1,Month-to-month,72.1,Electronic check,No,Fiber optic,13,Critical Risk
0508-OOLTO,2,Month-to-month,71.65,Electronic check,No,Fiber optic,13,Critical Risk
6339-YPSAH,9,Month-to-month,73.8,Electronic check,No,Fiber optic,13,Critical Risk
7994-UYIVZ,8,Month-to-month,85.65,Bank transfer (automatic),No,Fiber optic,13,Critical Risk
1197-BVMVG,4,Month-to-month,74.45,Electronic check,No,Fiber optic,13,Critical Risk
1475-VWVDO,7,Month-to-month,74.9,Electronic check,No,Fiber optic,13,Critical Risk
9050-IKDZA,2,Month-to-month,81.5,Mailed check,No,Fiber optic,13,Critical Risk
9603-OAIHC,1,Month-to-month,70.05,Electronic check,No,Fiber optic,13,Critical Risk
9799-CAYJJ,2,Month-to-month,69.3,Electronic check,No,Fiber optic,13,Critical Risk
6645-MXQJT,2,Month-to-month,97.1,Electronic check,No,Fiber optic,13,Critical Risk
9773-PEQBZ,10,Month-to-month,79.85,Electronic check,No,Fiber optic,13,Critical Risk
9402-ORRAH,15,Month-to-month,91.5,Electronic check,No,Fiber optic,13,Critical Risk
0581-BXBUB,4,Month-to-month,72.75,Electronic check,No,Fiber optic,13,Critical Risk
4183-MYFRB,21,Month-to-month,90.05,Electronic check,No,Fiber optic,13,Critical Risk
4929-XIHVW,2,Month-to-month,95.5,Credit card (automatic),No,Fiber optic,13,Critical Risk
6860-YRJZP,9,Month-to-month,74.05,Electronic check,No,Fiber optic,13,Critical Risk
0928-XUTSN,13,Month-to-month,80.5,Electronic check,No,Fiber optic,13,Critical Risk
3629-ZNKXA,17,Month-to-month,101.8,Electronic check,No,Fiber optic,13,Critical Risk
9547-ITEFG,9,Month-to-month,102.6,Credit card (automatic),No,Fiber optic,13,Critical Risk
4770-UEZOX,2,Month-to-month,74.75,Electronic check,No,Fiber optic,13,Critical Risk
3914-FDRHP,9,Month-to-month,86.25,Electronic check,Yes,Fiber optic,13,Critical Risk
6818-DJXAA,10,Month-to-month,91.1,Electronic check,Yes,Fiber optic,13,Critical Risk
4445-ZJNMU,9,Month-to-month,99.3,Credit card (automatic),No,Fiber optic,13,Critical Risk
2674-MIAHT,4,Month-to-month,80.3,Mailed check,No,Fiber optic,13,Critical Risk
5043-TRZWM,1,Month-to-month,75.55,Electronic check,No,Fiber optic,13,Critical Risk
1640-PLFMP,1,Month-to-month,70.25,Electronic check,No,Fiber optic,13,Critical Risk
3071-VBYPO,3,Month-to-month,89.85,Electronic check,No,Fiber optic,13,Critical Risk
0840-DFEZH,7,Month-to-month,75.35,Electronic check,No,Fiber optic,13,Critical Risk
5542-TBBWB,1,Month-to-month,69.9,Electronic check,No,Fiber optic,13,Critical Risk
2876-GZYZC,13,Month-to-month,85.95,Electronic check,No,Fiber optic,13,Critical Risk
6229-LSCKB,6,Month-to-month,79.7,Electronic check,No,Fiber optic,13,Critical Risk
4536-PLEQY,12,Month-to-month,85.05,Credit card (automatic),No,Fiber optic,13,Critical Risk
4482-EWFMI,2,Month-to-month,69.7,Electronic check,No,Fiber optic,13,Critical Risk
9919-KNPOO,21,Month-to-month,94.3,Electronic check,No,Fiber optic,13,Critical Risk
9093-FPDLG,11,Month-to-month,94.2,Electronic check,Yes,Fiber optic,13,Critical Risk
3453-RTHJQ,6,Month-to-month,69.1,Electronic check,No,Fiber optic,13,Critical Risk
6198-ZFIOJ,5,Month-to-month,75.6,Electronic check,No,Fiber optic,13,Critical Risk
8313-NDOIA,24,Month-to-month,104.15,Electronic check,No,Fiber optic,13,Critical Risk
7245-NIIWQ,3,Month-to-month,69.85,Electronic check,No,Fiber optic,13,Critical Risk
6705-LXORM,5,Month-to-month,70.05,Electronic check,No,Fiber optic,13,Critical Risk
2135-DQWAQ,5,Month-to-month,85.3,Mailed check,No,Fiber optic,13,Critical Risk
4090-KPJIP,3,Month-to-month,74.95,Electronic check,No,Fiber optic,13,Critical Risk
2018-PZKMU,9,Month-to-month,103.1,Electronic check,Yes,Fiber optic,13,Critical Risk
0365-BZUWY,17,Month-to-month,102.55,Electronic check,No,Fiber optic,13,Critical Risk
2985-FMWYF,23,Month-to-month,93.5,Electronic check,No,Fiber optic,13,Critical Risk
1452-VOQCH,1,Month-to-month,75.1,Electronic check,No,Fiber optic,13,Critical Risk
3422-GALYP,2,Month-to-month,79.45,Electronic check,No,Fiber optic,13,Critical Risk
5442-BHQNG,2,Month-to-month,70.35,Electronic check,No,Fiber optic,13,Critical Risk
9094-AZPHK,15,Month-to-month,100.15,Electronic check,No,Fiber optic,13,Critical Risk
0432-CAJZV,3,Month-to-month,90.7,Mailed check,No,Fiber optic,13,Critical Risk
5119-NZPTV,2,Month-to-month,70.1,Electronic check,No,Fiber optic,13,Critical Risk
7392-YYPYJ,22,Month-to-month,100.65,Electronic check,No,Fiber optic,13,Critical Risk
7225-CBZPL,17,Month-to-month,94.8,Electronic check,No,Fiber optic,13,Critical Risk
4234-XTNEA,2,Month-to-month,79.95,Electronic check,No,Fiber optic,13,Critical Risk
7823-JSOAG,3,Month-to-month,74.5,Electronic check,No,Fiber optic,13,Critical Risk
4813-HQMGZ,8,Month-to-month,90.25,Electronic check,Yes,Fiber optic,13,Critical Risk
4612-SSVHJ,20,Month-to-month,81.45,Electronic check,No,Fiber optic,13,Critical Risk
9494-MRNYX,10,Month-to-month,75.05,Electronic check,No,Fiber optic,13,Critical Risk
6137-NICCO,6,Month-to-month,94.05,Mailed check,No,Fiber optic,13,Critical Risk
4559-UWIHT,14,Month-to-month,82.65,Electronic check,No,Fiber optic,13,Critical Risk
5339-PXDVH,4,Month-to-month,90.65,Electronic check,No,Fiber optic,13,Critical Risk
3644-QXEHN,13,Month-to-month,97.0,Electronic check,No,Fiber optic,13,Critical Risk
9281-OFDMF,39,Month-to-month,90.7,Electronic check,No,Fiber optic,12,Critical Risk
8064-RAVOH,1,Month-to-month,49.85,Electronic check,No,DSL,12,Critical Risk
1355-KUSBG,7,Month-to-month,48.8,Electronic check,No,DSL,12,Critical Risk
8404-GFGCZ,4,Month-to-month,65.6,Electronic check,No,DSL,12,Critical Risk
1728-CXQBE,64,Month-to-month,94.25,Electronic check,No,Fiber optic,12,Critical Risk
0899-LIIBW,34,Month-to-month,100.85,Electronic check,No,Fiber optic,12,Critical Risk
5649-RXQTV,51,Month-to-month,99.0,Electronic check,No,Fiber optic,12,Critical Risk
3503-TYDAY,43,Month-to-month,80.45,Electronic check,No,Fiber optic,12,Critical Risk
3995-WFCSM,2,Month-to-month,60.85,Electronic check,No,DSL,12,Critical Risk
7404-JLKQG,3,Month-to-month,57.55,Electronic check,No,DSL,12,Critical Risk
8631-WUXGY,46,Month-to-month,99.8,Electronic check,No,Fiber optic,12,Critical Risk
5216-WASFJ,31,Month-to-month,84.85,Electronic check,No,Fiber optic,12,Critical Risk
0114-PEGZZ,33,Month-to-month,107.55,Electronic check,No,Fiber optic,12,Critical Risk
0674-DGMAQ,32,Month-to-month,93.5,Electronic check,No,Fiber optic,12,Critical Risk
4706-DGAHW,1,Month-to-month,45.2,Electronic check,No,DSL,12,Critical Risk
1919-RTPQD,7,Month-to-month,44.75,Electronic check,No,DSL,12,Critical Risk
6652-YFFJO,11,Month-to-month,64.9,Electronic check,No,DSL,12,Critical Risk
4001-TSBTV,58,Month-to-month,91.55,Electronic check,No,Fiber optic,12,Critical Risk
5226-NOZFC,26,Month-to-month,85.75,Electronic check,No,Fiber optic,12,Critical Risk
0248-IPDFW,1,Month-to-month,50.1,Electronic check,No,DSL,12,Critical Risk
2675-DHUTR,58,Month-to-month,98.9,Electronic check,No,Fiber optic,12,Critical Risk
5144-TVGLP,38,Month-to-month,94.75,Electronic check,No,Fiber optic,12,Critical Risk
4879-GZLFH,42,Month-to-month,92.15,Electronic check,No,Fiber optic,12,Critical Risk
7682-AZNDK,34,Month-to-month,89.85,Electronic check,No,Fiber optic,12,Critical Risk
5439-WIKXB,41,Month-to-month,94.55,Electronic check,No,Fiber optic,12,Critical Risk
1078-TDCRN,3,Month-to-month,30.75,Electronic check,No,DSL,12,Critical Risk
0420-HLGXF,39,Month-to-month,99.75,Electronic check,No,Fiber optic,12,Critical Risk
4128-ETESU,47,Month-to-month,99.7,Electronic check,No,Fiber optic,12,Critical Risk
5501-TVMGM,1,Month-to-month,55.25,Electronic check,No,DSL,12,Critical Risk
3481-JHUZH,41,Month-to-month,80.25,Electronic check,No,Fiber optic,12,Critical Risk
0396-YCHWO,36,Month-to-month,95.4,Electronic check,No,Fiber optic,12,Critical Risk
4238-HFHSN,61,Month-to-month,82.15,Electronic check,No,Fiber optic,12,Critical Risk
0277-BKSQP,8,Month-to-month,54.4,Electronic check,No,DSL,12,Critical Risk
9885-AIBVB,29,Month-to-month,85.8,Electronic check,No,Fiber optic,12,Critical Risk
0928-JMXNP,4,Month-to-month,29.9,Electronic check,No,DSL,12,Critical Risk
1666-JXLKU,37,Month-to-month,100.05,Electronic check,No,Fiber optic,12,Critical Risk
0093-EXYQL,40,Month-to-month,91.55,Electronic check,No,Fiber optic,12,Critical Risk
5117-IFGPS,29,Month-to-month,84.3,Electronic check,No,Fiber optic,12,Critical Risk
1728-BQDMA,2,Month-to-month,44.45,Electronic check,No,DSL,12,Critical Risk
1406-PUQVY,1,Month-to-month,49.9,Electronic check,No,DSL,12,Critical Risk
2373-NTKOD,8,Month-to-month,66.25,Electronic check,No,DSL,12,Critical Risk
7365-BVCJH,1,Month-to-month,24.4,Electronic check,No,DSL,12,Critical Risk
5857-TYBCJ,44,Month-to-month,89.2,Electronic check,No,Fiber optic,12,Critical Risk
8785-CJSHH,60,Month-to-month,99.8,Electronic check,No,Fiber optic,12,Critical Risk
4098-NAUKP,68,Month-to-month,84.65,Electronic check,No,Fiber optic,12,Critical Risk
5404-GGUKR,5,Month-to-month,51.35,Electronic check,No,DSL,12,Critical Risk
8849-AYPTR,33,Month-to-month,91.25,Electronic check,No,Fiber optic,12,Critical Risk
7586-ZATGZ,40,Month-to-month,84.9,Electronic check,No,Fiber optic,12,Critical Risk
8445-DNBAE,1,Month-to-month,50.05,Electronic check,No,DSL,12,Critical Risk
2041-JIJCI,5,Month-to-month,64.0,Electronic check,No,DSL,12,Critical Risk
5899-OUVKV,31,Month-to-month,94.5,Electronic check,No,Fiber optic,12,Critical Risk
6968-GMKPR,55,Month-to-month,81.55,Electronic check,No,Fiber optic,12,Critical Risk
2831-EBWRN,4,Month-to-month,45.9,Electronic check,No,DSL,12,Critical Risk
2740-TVLFN,1,Month-to-month,50.15,Electronic check,No,DSL,12,Critical Risk
9415-TPKRV,8,Month-to-month,55.75,Electronic check,No,DSL,12,Critical Risk
6519-CFDBX,2,Month-to-month,45.4,Electronic check,No,DSL,12,Critical Risk
3956-MGXOG,28,Month-to-month,80.6,Electronic check,No,Fiber optic,12,Critical Risk
4570-QHXHL,9,Month-to-month,43.75,Electronic check,No,DSL,12,Critical Risk
6088-BXMRG,32,Month-to-month,98.85,Electronic check,No,Fiber optic,12,Critical Risk
0988-JRWWP,3,Month-to-month,54.2,Electronic check,No,DSL,12,Critical Risk
